Identifier,skos:prefLabel@en,skos:definition@en,"skos:altLabel(separator="","")","dct:source(separator="","")","skos:broader(separator="","")","skos:exactMatch(separator="","")","skos:closeMatch(separator="","")",skos:editorialNote@en,"dct:creator(separator="","")","dct:contributor(separator="","")",purl_target,
datacite:resourceTypeGeneral,resourceTypeGeneral,The general type of a resource.,,,,,,,,,rtd:appendix-1/resourceTypeGeneral/,
datacite:Audiovisual,Audiovisual,A series of visual representations imparting an impression of motion when shown in succession. May or may not include sound.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:Book,Book,"A medium for recording information in the form of writing or images, typically composed of many pages bound together and protected by a cover.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:BookChapter,BookChapter,One of the main divisions of a book.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:Collection,Collection,"An aggregation of resources, which may encompass collections of one resourceType as well as those of mixed types. A collection is described as a group; its parts may also be separately described.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:ComputationalNotebook,ComputationalNotebook,A virtual notebook environment used for literate programming.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:ConferencePaper,ConferencePaper,Article that is written with the goal of being accepted to a conference.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:ConferenceProceeding,ConferenceProceeding,Collection of academic papers published in the context of an academic conference.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:DataPaper,DataPaper,"A factual and objective publication with a focused intent to identify and describe specific data, sets of data, or data collections to facilitate discoverability.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:Dataset,Dataset,Data encoded in a defined structure.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:Dissertation,Dissertation,"A written essay, treatise, or thesis, especially one written by a candidate for the degree of Doctor of Philosophy.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:Event,Event,"A non-persistent, time-based occurrence.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:Image,Image,A visual representation other than text.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:Instrument,Instrument,"A device, tool or apparatus used to obtain, measure and/or analyze data.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:InteractiveResource,InteractiveResource,"A resource requiring interaction from the user to be understood, executed, or experienced.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:Journal,Journal,A scholarly publication consisting of articles that is published regularly throughout the year.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:JournalArticle,JournalArticle,"A written composition on a topic of interest, which forms a separate part of a journal.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:Model,Model,"An abstract, conceptual, graphical, mathematical or visualization model that represents empirical objects, phenomena, or physical processes.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:OutputManagementPlan,OutputManagementPlan,A formal document that outlines how research outputs are to be handled both during a research project and after the project is completed.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:PeerReview,PeerReview,"Evaluation of scientific, academic, or professional work by others working in the same field.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:PhysicalObject,PhysicalObject,A physical object or substance.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:Preprint,Preprint,A version of a scholarly or scientific paper that precedes formal peer review and publication in a peer-reviewed scholarly or scientific journal.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:Report,Report,A document that presents information in an organized format for a specific audience and purpose.,,,datacite:resourceTypeGeneral,,,,,,,
datacite:Service,Service,"An organized system of apparatus, appliances, staff, etc., for supplying some function(s) required by end users.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:Software,Software,"A computer program other than a computational notebook, in either source code (text) or compiled form. Use this type for general software components supporting scholarly research. Use the “ComputationalNotebook” value for virtual notebooks.",,,datacite:resourceTypeGeneral,,,,,,,
datacite:Sound,Sound,A resource primarily intended to be heard.,,,datacite:resourceTypeGeneral,,,,,,,
